Name;Platform;Year_of_Release;Genre;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Prom_Score;Sales;
Fire Emblem: Awakening;3DS;2012;Role-Playing;0,9;0,45;0,54;0,13;2,01;92,0;72,0;9,0;30,0;91;0,775792196;
Mario Party: Island Tour;3DS;2013;Misc;0,62;0,64;0,55;0,11;1,92;57,0;47,0;6,3;7,0;60;0,741055232;
Donkey Kong Country Returns;3DS;2013;Platform;0,74;0,62;0,41;0,13;1,89;0,0;0,0;0,0;0,0;0;0,729476244;
Kirby: Triple Deluxe;3DS;2014;Platform;0,61;0,34;0,79;0,09;1,83;80,0;68,0;8,8;206,0;84;0,706318268;
Professor Layton and the Mask of Miracle;3DS;2011;Puzzle;0,32;0,97;0,36;0,13;1,79;0,0;0,0;0,0;0,0;0;0,690879617;
 Fire Emblem Fates;3DS;2015;Role-Playing;0,81;0,23;0,52;0,11;1,68;0,0;0,0;0,0;0,0;0;0,648423328;
Kingdom Hearts 3D: Dream Drop Distance;3DS;2012;Action;0,88;0,26;0,34;0,1;1,58;75,0;54,0;8,2;267,0;78,5;0,609826701;
Puzzle & Dragons;3DS;2013;Role-Playing;0;0;1,51;0;1,51;0,0;0,0;0,0;0,0;0;0,582809062;
LEGO City Undercover;3DS;2013;Platform;0,52;0,77;0,07;0,11;1,47;0,0;0,0;0,0;0,0;0;0,567370412;
Dragon Quest VII: Warriors of Eden;3DS;2013;Role-Playing;0,06;0,09;1,3;0,01;1,46;0,0;0,0;0,0;0,0;0;0,563510749;
Yoshi's New Island;3DS;2014;Platform;0,48;0,53;0,28;0,09;1,38;64,0;70,0;6,0;55,0;62;0,532633448;
Bravely Default: Flying Fairy;3DS;2012;Role-Playing;0,5;0,32;0,49;0,08;1,38;0,0;0,0;0,0;0,0;0;0,532633448;
Yokai Watch 3;3DS;2016;Action;0;0;1,33;0;1,33;0,0;0,0;0,0;0,0;0;0,513335135;
Kid Icarus: Uprising;3DS;2012;Action;0,48;0,35;0,36;0,07;1,27;83,0;75,0;8,7;487,0;85;0,490177159;
Pokemon Mystery Dungeon: Gates to Infinity;3DS;2012;Role-Playing;0,44;0,29;0,47;0,07;1,27;59,0;46,0;6,3;34,0;61;0,490177159;
Pokemon Super Mystery Dungeon;3DS;2015;Role-Playing;0,48;0,35;0,34;0,08;1,25;69,0;44,0;8,8;90,0;78,5;0,482457833;
Super Street Fighter IV: 3D Edition;3DS;2011;Fighting;0,55;0,44;0,14;0,09;1,21;85,0;69,0;8,0;206,0;82,5;0,467019183;
Mario & Sonic at the London 2012 Olympic Games;3DS;2012;Sports;0,18;0,64;0,27;0,09;1,18;0,0;0,0;0,0;0,0;0;0,455440195;
Pokemon Rumble Blast;3DS;2011;Action;0,47;0,26;0,35;0,07;1,14;56,0;36,0;7,0;50,0;63;0,440001544;
LEGO Star Wars III: The Clone Wars;3DS;2011;Action;0,61;0,43;0;0,09;1,13;67,0;25,0;6,0;30,0;63,5;0,436141881;
Fantasy Life;3DS;2012;Role-Playing;0,33;0,37;0,37;0,06;1,13;73,0;50,0;8,6;209,0;79,5;0,436141881;
The Legend of Zelda: Tri Force Heroes;3DS;2015;Action;0,53;0,33;0,17;0,08;1,12;73,0;73,0;7,6;79,0;74,5;0,432282219;
Sonic Generations;3DS;2011;Platform;0,44;0,47;0,01;0,09;1,02;66,0;29,0;6,9;8,0;67,5;0,393685592;
Dragon Quest Monsters: Terry's Wonderland 3D;3DS;2012;Role-Playing;0;0;0,96;0;0,96;0,0;0,0;0,0;0,0;0;0,370527616;
Mario Tennis Open;3DS;2012;Sports;0,26;0,29;0,34;0,05;0,95;69,0;58,0;6,9;0,0;69;0,366667953;
PilotWings Resort;3DS;2011;Simulation;0,4;0,36;0,13;0,07;0,95;70,0;64,0;7,4;88,0;72;0,366667953;
Star Fox 64 3D;3DS;2011;Shooter;0,48;0,27;0,13;0,06;0,94;80,0;65,0;8,2;230,0;81;0,362808291;
Kirby: Planet Robobot;3DS;2016;Action;0,28;0,14;0,47;0,04;0,93;80,0;70,0;8,7;87,0;83,5;0,358948628;
Disney Magical World;3DS;2013;Adventure;0,17;0,2;0,53;0,03;0,92;70,0;27,0;7,5;20,0;72,5;0,355088965;
Harvest Moon 3D: A New Beginning;3DS;2012;Action;0,41;0,17;0,3;0,05;0,91;74,0;20,0;8,2;62,0;78;0,351229303;
LEGO Marvel Super Heroes;3DS;2013;Action;0,42;0,36;0,04;0,07;0,9;60,0;4,0;5,2;0,0;56;0,34736964;
Resident Evil: Revelations;3DS;2012;Action;0,3;0,22;0,3;0,05;0,88;82,0;78,0;8,5;397,0;83,5;0,339650315;
Monster Strike 3DS;3DS;2015;Action;0;0;0,87;0;0,87;0,0;0,0;0,0;0,0;0;0,335790652;
Dragon Quest VIII: Journey of the Cursed King;3DS;2015;Role-Playing;0;0;0,86;0;0,86;0,0;0,0;0,0;0,0;0;0,331930989;
Tales of the Abyss;3DS;2011;Role-Playing;0,43;0,19;0,14;0,06;0,83;75,0;33,0;7,6;97,0;75,5;0,320352001;
Professor Layton vs Phoenix Wright: Ace Attorney;3DS;2012;Puzzle;0,2;0,26;0,3;0,04;0,8;79,0;69,0;8,5;99,0;82;0,308773013;
Dragon Quest Monsters 2;3DS;2014;Role-Playing;0;0;0,79;0;0,79;0,0;0,0;0,0;0,0;0;0,304913351;
The Sims 3;3DS;2011;Simulation;0,3;0,37;0,03;0,07;0,76;52,0;29,0;3,3;30,0;42,5;0,293334363;
Mario & Luigi: Paper Jam;3DS;2015;Role-Playing;0,16;0,29;0,26;0,04;0,76;0,0;0,0;0,0;0,0;0;0,293334363;
Professor Layton and the Azran Legacy;3DS;2013;Puzzle;0;0,48;0,25;0,03;0,75;80,0;58,0;7,9;86,0;79,5;0,2894747;
Nintendo Presents: New Style Boutique 2 - Fashion Forward;3DS;2015;Misc;0,03;0,66;0,02;0,04;0,75;0,0;0,0;0,0;0,0;0;0,2894747;
LEGO Batman 2: DC Super Heroes;3DS;2012;Action;0,41;0,28;0;0,06;0,75;72,0;6,0;5,2;25,0;62;0,2894747;
Rhythm Heaven: The Best+;3DS;2015;Misc;0;0,03;0,72;0;0,74;0,0;0,0;0,0;0,0;0;0,285615037;
Style Savvy: Trendsetters;3DS;2012;Simulation;0,16;0,02;0,53;0,01;0,73;76,0;5,0;8,0;5,0;78;0,281755375;
Persona Q: Shadow of the Labyrinth;3DS;2014;Role-Playing;0,34;0,07;0,27;0,04;0,72;83,0;56,0;8,0;69,0;81,5;0,277895712;
The LEGO Movie Videogame;3DS;2014;Action;0,28;0,31;0,05;0,05;0,69;0,0;0,0;5,4;3,0;27;0,266316724;
Rayman 3D;3DS;2011;Platform;0,23;0,35;0;0,06;0,64;60,0;39,0;6,6;48,0;63;0,247018411;
Dragon Quest Monsters Joker 3;3DS;2016;Role-Playing;0;0;0,63;0;0,63;0,0;0,0;0,0;0,0;0;0,243158748;
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb;3DS;2012;Misc;0;0;0,63;0;0,63;0,0;0,0;0,0;0,0;0;0,243158748;
Angry Birds Trilogy;3DS;2012;Action;0,38;0,2;0;0,05;0,63;62,0;7,0;4,6;20,0;54;0,243158748;
LEGO Jurassic World;3DS;2015;Action;0,31;0,23;0,03;0,05;0,62;0,0;0,0;7,2;0,0;36;0,239299085;
LEGO Pirates of the Caribbean: The Video Game;3DS;2011;Action;0,29;0,27;0;0,06;0,62;70,0;6,0;7,3;20,0;71,5;0,239299085;
Toshochu: Run for Money;3DS;2012;Adventure;0;0;0,62;0;0,62;0,0;0,0;0,0;0,0;0;0,239299085;
Cooking Mama 4: Kitchen Magic!;3DS;2011;Simulation;0,5;0,07;0;0,05;0,61;56,0;6,0;6,0;7,0;58;0,235439423;
Scribblenauts: Unlimited;3DS;2012;Action;0,56;0,01;0;0,05;0,61;73,0;3,0;7,4;20,0;73,5;0,235439423;
 Frozen: Olaf's Quest;3DS;2013;Platform;0,27;0,27;0;0,05;0,6;0,0;0,0;0,0;0,0;0;0,23157976;
Shin Megami Tensei IV;3DS;2013;Role-Playing;0,28;0;0,27;0,03;0,58;83,0;48,0;8,3;250,0;83;0,223860435;
Skylanders: Spyro's Adventure;3DS;2011;Action;0,32;0,2;0;0,05;0,57;82,0;8,0;4,9;62,0;65,5;0,220000772;
Rune Factory 4;3DS;2012;Role-Playing;0,32;0;0,21;0,03;0,57;78,0;33,0;8,0;22,0;79;0,220000772;
Xenoblade Chronicles;3DS;2015;Role-Playing;0,27;0,14;0,12;0,04;0,56;0,0;0,0;0,0;0,0;0;0,216141109;
Yokai Sangokushi;3DS;2016;Action;0;0;0,56;0;0,56;0,0;0,0;0,0;0,0;0;0,216141109;
Final Fantasy Explorers;3DS;2014;Role-Playing;0,16;0,07;0,28;0,02;0,54;69,0;57,0;7,0;87,0;69,5;0,208421784;
Inazuma Eleven GO;3DS;2011;Role-Playing;0;0,05;0,48;0;0,53;0,0;0,0;0,0;0,0;0;0,204562121;
Mario & Sonic at the Rio 2016 Olympic Games;3DS;2016;Action;0,05;0,21;0,25;0,02;0,53;0,0;0,0;0,0;0,0;0;0,204562121;
Theatrhythm: Final Fantasy;3DS;2012;Misc;0,22;0,07;0,18;0,02;0,5;78,0;60,0;7,8;3,0;78;0,192983133;
Ridge Racer 3D;3DS;2011;Racing;0,19;0,15;0,12;0,03;0,49;75,0;59,0;7,2;56,0;73,5;0,189123471;
Super Monkey Ball 3D;3DS;2011;Action;0,26;0,15;0,05;0,04;0,49;55,0;57,0;5,5;30,0;55;0,189123471;
Sonic Lost World;3DS;2013;Platform;0,24;0,14;0,07;0,03;0,49;59,0;34,0;6,5;44,0;62;0,189123471;
Resident Evil: The Mercenaries 3D;3DS;2011;Action;0,16;0,16;0,13;0,03;0,49;65,0;69,0;6,4;0,0;64,5;0,189123471;
Epic Mickey: Power of Illusion;3DS;2012;Action;0,36;0,04;0,04;0,04;0,49;0,0;0,0;0,0;0,0;0;0,189123471;
Pokemon Art Academy ;3DS;2014;Misc;0,18;0,12;0,16;0,03;0,49;76,0;22,0;7,7;9,0;76,5;0,189123471;
Asphalt 3D;3DS;2011;Racing;0,27;0,16;0,02;0,04;0,49;43,0;37,0;4,4;24,0;43,5;0,189123471;
Steel Diver;3DS;2011;Action;0,31;0,09;0,05;0,03;0,49;58,0;55,0;6,3;29,0;60,5;0,189123471;
Bravely Second: End Layer;3DS;2015;Role-Playing;0,17;0,1;0,18;0,03;0,49;80,0;70,0;7,4;3,0;77;0,189123471;
Puzzle & Dragons Z + Super Mario Bros. Edition;3DS;2015;Puzzle;0,06;0,07;0,34;0,01;0,48;0,0;0,0;0,0;0,0;0;0,185263808;
Mario Golf: World Tour;3DS;2014;Sports;0,15;0,13;0,17;0,03;0,48;78,0;73,0;8,2;76,0;80;0,185263808;
Inazuma Eleven Go 2: Chrono Stone;3DS;2012;Role-Playing;0;0,01;0,46;0;0,47;0,0;0,0;0,0;0,0;0;0,181404145;
Art Academy: Lessons for Everyone;3DS;2012;Action;0,2;0,04;0,21;0,02;0,46;80,0;4,0;7,6;22,0;78;0,177544483;
FIFA 15;3DS;2014;Sports;0,09;0,34;0;0,03;0,45;0,0;0,0;2,4;35,0;12;0,17368482;
Lego Batman 3: Beyond Gotham;3DS;2014;Action;0,21;0,2;0;0,04;0,45;0,0;0,0;6,4;7,0;32;0,17368482;
Dead or Alive: Dimensions;3DS;2011;Fighting;0,13;0,21;0,07;0,03;0,45;79,0;62,0;8,2;3,0;80,5;0,17368482;
Tetris Axis;3DS;2011;Puzzle;0,2;0,13;0,06;0,03;0,43;74,0;33,0;6,8;28,0;71;0,165965495;
Hyrule Warriors;3DS;2016;Action;0,17;0,13;0,11;0,03;0,43;0,0;0,0;0,0;0,0;0;0,165965495;
Hometown Story;3DS;2013;Role-Playing;0,23;0,12;0,04;0,04;0,43;47,0;4,0;6,0;24,0;53,5;0,165965495;
Story of Seasons;3DS;2014;Simulation;0;0,14;0,27;0,01;0,42;76,0;39,0;8,2;54,0;79;0,162105832;
Attack on Titan: Humanity in Chains;3DS;2013;Action;0;0;0,42;0;0,42;46,0;22,0;4,5;34,0;45,5;0,162105832;
LEGO Harry Potter: Years 5-7;3DS;2011;Action;0,18;0,19;0;0,03;0,4;70,0;7,0;6,5;0,0;67,5;0,154386507;
LEGO The Lord of the Rings;3DS;2012;Action;0,2;0,16;0;0,03;0,39;60,0;4,0;7,6;0,0;68;0,150526844;
Project X Zone;3DS;2012;Role-Playing;0,18;0,04;0,15;0,02;0,39;70,0;53,0;7,3;46,0;71,5;0,150526844;
Madden NFL Football;3DS;2011;Sports;0,36;0,01;0;0,03;0,39;49,0;8,0;5,3;6,0;51;0,150526844;
FIFA 12;3DS;2011;Sports;0,08;0,26;0;0,05;0,39;0,0;0,0;0,0;0,0;0;0,150526844;
Combat of Giants: Dinosaurs 3D;3DS;2011;Strategy;0,25;0,06;0,05;0,03;0,39;44,0;8,0;5,3;9,0;48,5;0,150526844;
Samurai Warriors Chronicles;3DS;2011;Action;0,12;0,05;0,2;0,01;0,39;60,0;30,0;7,7;35,0;68,5;0,150526844;
One Piece: Unlimited World Red;3DS;2013;Action;0,05;0,04;0,28;0,01;0,39;75,0;5,0;7,6;26,0;75,5;0,150526844;
Shin Megami Tensei: Devil Survivor Overclocked;3DS;2011;Role-Playing;0,28;0,01;0,06;0,03;0,38;78,0;27,0;8,2;97,0;80;0,146667181;
Phoenix Wright: Ace Attorney - Dual Destinies;3DS;2013;Adventure;0;0;0,38;0;0,38;0,0;0,0;0,0;0,0;0;0,146667181;
Metal Gear Solid: Snake Eater 3D;3DS;2012;Action;0,15;0,11;0,1;0,02;0,38;78,0;46,0;7,8;67,0;78;0,146667181;
Raving Rabbids: Travel in Time 3D;3DS;2011;Platform;0,11;0,23;0;0,04;0,38;0,0;0,0;0,0;0,0;0;0,146667181;
Etrian Odyssey IV: Legends of the Titans;3DS;2012;Role-Playing;0,12;0,05;0,2;0,01;0,38;0,0;0,0;0,0;0,0;0;0,146667181;
Pro Evolution Soccer 2011 3D;3DS;2011;Sports;0,11;0,13;0,11;0,02;0,38;73,0;43,0;6,7;8,0;70;0,146667181;
Theatrhythm Final Fantasy: Curtain Call;3DS;2014;Misc;0,13;0,08;0,15;0,02;0,37;83,0;52,0;8,2;66,0;82,5;0,142807519;
Fossil Fighters: Frontier;3DS;2014;Role-Playing;0,08;0,04;0,23;0,01;0,36;57,0;25,0;4,8;9,0;52,5;0,138947856;
Sentouchu: Densetsu no Shinobi to Survival Battle!;3DS;2013;Action;0;0;0,35;0;0,35;0,0;0,0;0,0;0,0;0;0,135088193;
Tom Clancy's Ghost Recon: Shadow Wars;3DS;2011;Strategy;0,22;0,09;0;0,03;0,34;77,0;49,0;7,9;78,0;78;0,131228531;
Disney Magic World 2;3DS;2015;Action;0,02;0,11;0,19;0,01;0,34;0,0;0,0;0,0;0,0;0;0,131228531;
Angry Birds Star Wars;3DS;2013;Strategy;0,15;0,15;0;0,03;0,34;0,0;0,0;3,0;8,0;15;0,131228531;
Dragon Ball Z: Extreme Butoden;3DS;2015;Fighting;0,12;0,03;0,16;0,02;0,33;60,0;32,0;6,6;32,0;63;0,127368868;
Hatsune Miku: Project Mirai DX;3DS;2015;Misc;0,16;0,04;0,1;0,02;0,32;80,0;32,0;8,5;70,0;82,5;0,123509205;
Dragon Ball Heroes: Ultimate Mission 2 ;3DS;2014;Strategy;0;0;0,32;0;0,32;0,0;0,0;0,0;0,0;0;0,123509205;
Bust-A-Move Universe;3DS;2011;Puzzle;0,08;0,15;0,06;0,03;0,31;49,0;30,0;4,8;3,0;48,5;0,119649543;
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure;3DS;2014;Action;0;0;0,31;0;0,31;0,0;0,0;0,0;0,0;0;0,119649543;
LEGO Legends of Chima: Laval's Journey;3DS;2013;Adventure;0,18;0,1;0;0,03;0,31;65,0;5,0;3,6;7,0;50,5;0,119649543;
Shin Megami Tensei: Devil Summoner - Soul Hackers;3DS;2012;Role-Playing;0,13;0,02;0,14;0,01;0,31;0,0;0,0;0,0;0,0;0;0,119649543;
Mario Party: Star Rush;3DS;2016;Misc;0,08;0,13;0,08;0,02;0,3;68,0;37,0;6,8;6,0;68;0,11578988;
Tom Clancy's Splinter Cell 3D;3DS;2011;Action;0,14;0,07;0,07;0,02;0,3;53,0;32,0;5,5;26,0;54;0,11578988;
Harvest Moon: The Tale of Two Towns;3DS;2010;Simulation;0,28;0;0;0,02;0,3;0,0;0,0;0,0;0,0;0;0,11578988;
One Piece Unlimited Cruise SP;3DS;2011;Action;0;0;0,3;0;0,3;46,0;20,0;7,3;4,0;59,5;0,11578988;
Disney Infinity;3DS;2013;Action;0,17;0,1;0;0,02;0,29;0,0;0,0;0,0;0,0;0;0,111930217;
FIFA Soccer 13;3DS;2012;Action;0,06;0,2;0;0,03;0,29;68,0;4,0;3,7;6,0;52,5;0,111930217;
Sonic Boom: Shattered Crystal;3DS;2014;Action;0,17;0,09;0;0,03;0,29;47,0;20,0;6,3;60,0;55;0,111930217;
Dragon Ball Heroes: Ultimate Mission;3DS;2013;Misc;0;0;0,29;0;0,29;0,0;0,0;0,0;0,0;0;0,111930217;
Sonic & All-Stars Racing Transformed;3DS;2012;Racing;0,12;0,14;0;0,02;0,29;0,0;0,0;0,0;0,0;0;0,111930217;
Monster Hunter Stories;3DS;2016;Action;0;0;0,28;0;0,28;0,0;0,0;0,0;0,0;0;0,108070555;
Moshi Monsters: Moshlings Theme Park;3DS;2012;Misc;0,13;0,13;0;0,03;0,28;0,0;0,0;0,0;0,0;0;0,108070555;
Skylanders: Trap Team;3DS;2014;Action;0,16;0,1;0;0,02;0,28;0,0;0,0;3,4;5,0;17;0,108070555;
Kobitodzukan: Kobito Kansatsu Set;3DS;2012;Misc;0;0;0,28;0;0,28;0,0;0,0;0,0;0,0;0;0,108070555;
Ace Attorney 6;3DS;2016;Adventure;0;0;0,27;0;0,27;0,0;0,0;0,0;0,0;0;0,104210892;
Rhythm Thief & the Emperor's Treasure;3DS;2012;Misc;0,07;0,07;0,12;0,01;0,27;0,0;0,0;0,0;0,0;0;0,104210892;
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training;3DS;2012;Action;0;0;0,27;0;0,27;0,0;0,0;0,0;0,0;0;0,104210892;
Batman: Arkham Origins Blackgate;3DS;2013;Action;0,16;0,09;0;0,02;0,27;68,0;7,0;6,8;38,0;68;0,104210892;
Ultimate NES Remix;3DS;2014;Action;0,15;0,09;0;0,02;0,27;69,0;6,0;7,6;32,0;72,5;0,104210892;
Aikatsu! 2-nin no My Princess;3DS;2013;Action;0;0;0,26;0;0,26;0,0;0,0;0,0;0,0;0;0,100351229;
Inazuma Eleven GO 3: Galaxy;3DS;2013;Sports;0;0;0,26;0;0,26;0,0;0,0;0,0;0,0;0;0,100351229;
Etrian Odyssey Untold: The Millennium Girl;3DS;2013;Role-Playing;0,1;0,01;0,14;0,01;0,26;80,0;40,0;8,2;89,0;81;0,100351229;
Zoo Resort 3D;3DS;2011;Simulation;0,11;0,09;0,03;0,02;0,25;0,0;0,0;0,0;0,0;0;0,096491567;
How to Train Your Dragon 2;3DS;2014;Adventure;0,04;0,19;0;0,02;0,25;0,0;0,0;0,0;0,0;0;0,096491567;
The Legend of Legacy;3DS;2015;Role-Playing;0,12;0,01;0,1;0,02;0,25;67,0;30,0;7,0;54,0;68,5;0,096491567;
Stella Glow;3DS;2015;Role-Playing;0,16;0,01;0,05;0,02;0,24;79,0;32,0;8,7;82,0;83;0,092631904;
Skylanders SWAP Force;3DS;2013;Platform;0,1;0,12;0;0,02;0,24;68,0;2,0;6,4;3,0;66;0,092631904;
Ace Combat: Assault Horizon Legacy;3DS;2011;Simulation;0,1;0,06;0,08;0,01;0,24;70,0;37,0;7,8;26,0;74;0,092631904;
Chibi-Robo! Zip Lash;3DS;2015;Platform;0,09;0,08;0,06;0,02;0,24;0,0;0,0;0,0;0,0;0;0,092631904;
LEGO The Hobbit;3DS;2014;Action;0,1;0,12;0;0,02;0,24;0,0;0,0;0,0;0,0;0;0,092631904;
FIFA 14;3DS;2013;Sports;0;0,22;0;0,01;0,24;0,0;0,0;0,0;0,0;0;0,092631904;
Etrian Mystery Dungeon;3DS;2015;Role-Playing;0,09;0,01;0,13;0,01;0,24;77,0;44,0;7,9;49,0;78;0,092631904;
Girls Mode 3: Kirakira Code;3DS;2015;Action;0;0;0,23;0;0,23;0,0;0,0;0,0;0,0;0;0,088772241;
Wipeout 2;3DS;2011;Misc;0,22;0;0;0,01;0,23;0,0;0,0;0,0;0,0;0;0,088772241;
WWE All Stars;3DS;2011;Fighting;0,15;0,06;0;0,02;0,23;70,0;2,0;7,4;7,0;72;0,088772241;
Cars 2;3DS;2011;Racing;0,21;0;0;0,02;0,23;0,0;0,0;0,0;0,0;0;0,088772241;
Puzzle & Dragons X: God Chapter / Dragon Chapter;3DS;2016;Action;0;0;0,22;0;0,22;0,0;0,0;0,0;0,0;0;0,084912579;
Hatsune Miku: Project Mirai 2;3DS;2013;Action;0;0;0,22;0;0,22;0,0;0,0;0,0;0,0;0;0,084912579;
Spirit Camera: The Cursed Memoir;3DS;2012;Adventure;0,13;0,02;0,06;0,01;0,22;54,0;35,0;6,0;28,0;57;0,084912579;
Shinobi;3DS;2011;Platform;0,14;0,07;0;0,02;0,22;69,0;33,0;7,3;33,0;71;0,084912579;
Senran Kagura 2: Deep Crimson ;3DS;2014;Action;0,1;0,02;0,08;0,01;0,22;58,0;28,0;6,8;56,0;63;0,084912579;
Transformers: Dark of the Moon;3DS;2011;Action;0,16;0,04;0;0,02;0,21;0,0;0,0;0,0;0,0;0;0,081052916;
Magician's Quest: Town of Magic;3DS;2012;Simulation;0;0;0,21;0;0,21;0,0;0,0;0,0;0,0;0;0,081052916;
Code Name: S.T.E.A.M.;3DS;2015;Strategy;0,14;0,05;0,01;0,02;0,21;69,0;69,0;7,7;25,0;73;0,081052916;
LEGO Ninjago: Shadow of Ronin;3DS;2015;Action;0,05;0,11;0,04;0,01;0,21;0,0;0,0;0,0;0,0;0;0,081052916;
Dragon Ball: Fusions;3DS;2016;Role-Playing;0,02;0;0,19;0;0,21;68,0;2,0;7,6;6,0;72;0,081052916;
Heroes of Ruin;3DS;2012;Role-Playing;0,13;0,07;0;0,02;0,21;69,0;53,0;7,4;50,0;71,5;0,081052916;
Mega Man Legacy Collection;3DS;2016;Platform;0,14;0;0,05;0,02;0,21;77,0;27,0;7,0;26,0;73,5;0,081052916;
Frogger 3D;3DS;2011;Action;0,16;0,03;0;0,01;0,21;54,0;0,0;5,5;8,0;54,5;0,081052916;
Little Battlers eXperience: Baku Boost;3DS;2012;Action;0;0;0,21;0;0,21;0,0;0,0;0,0;0,0;0;0,081052916;
WipeOut 3 The Game;3DS;2012;Action;0,18;0;0;0,02;0,2;0,0;0,0;0,0;0,0;0;0,077193253;
Story of Seasons: Good Friends of the Three Villages;3DS;2016;Simulation;0;0;0,2;0;0,2;0,0;0,0;0,0;0,0;0;0,077193253;
Code of Princess;3DS;2012;Action;0,16;0;0,03;0,01;0,2;67,0;38,0;7,6;73,0;71,5;0,077193253;
Tekken 3D: Prime Edition;3DS;2012;Fighting;0,06;0,07;0,05;0,01;0,2;64,0;42,0;5,9;39,0;61,5;0,077193253;
Aikatsu! Cinderella Lesson;3DS;2012;Role-Playing;0;0;0,2;0;0,2;0,0;0,0;0,0;0,0;0;0,077193253;
